a good deed,une bonne action
acquaintance/friend,connaissance
activity,activité
adolescent,adolescent/adolescente/ado
adopted,adopté
adult/grown-up,adulte
adventure film,film d’aventure/d’action
adventurous,aventureux/aventureuse
adventurous,aventureux/aventureuse
age,âge
alone,seul
annoying,agaçant
appetising,appétissant
appetite,appétit
apple,pomme
apricot,abricot
archery,tir à l’arc
argument,dispute
armchair,fauteuil
artichoke,artichaut
at home/at my/our house,chez moi/nous
athletics,athlétisme
aunt,tante
baby,bébé
badminton,badminton
bald,chauve
ball,ballon
banana,banane
band/group,groupe
basketball,basket
bathroom,salle de bain
bean,haricot
beard,barbe
beautiful,beau/belle
bedroom,chambre
beef,boeuf
beer,bière
beer (from the pump),pression
belt,ceinture
bill,addition
bill,addition
birthday,anniversaire
birthplace,lieu de naissance
biscuit,biscuit/petit gâteau
bitter,amer/amère
block (of flats),immeuble
blog,blog
board game,jeu de société
electronic game, jeu électronique
body building,musculation
body piercing,piercing
boiled egg/hard-boiled egg,oeuf à la coque/oeuf dur
book,livre
boots,bottes
born,né
bossy,autoritaire
bottle,bouteille
boxer shorts,caleçon
boxing,boxe
boy,garçon
bra,soutien-gorge
bracelet,bracelet
bread,pain
breakfast,petit déjeuner
bridegroom,marié
brother,frère
sister-in-law,belle-soeur
brother-in-law,beau-frère
brothers and sisters/siblings,frères et soeurs
brussels sprouts,choux de bruxelles
butter,beurre
cabbage,chou
cable TV,télévision par câble/câble
café,café
cake,gâteau
camcorder/video camera,caméra
camera,appareil photo
canoeing,canoë-kayak
cap,casquette
cap,képi
cardigan,gilet
career,carrière
carrot,carotte
cartoon,dessin animé
casual jacket,blouson
cat,chat
cat,chat/chatte
cauliflower,chou-fleur
CD (compact disc),disque compact/CD
celebration/party,fête
celebrity,célebrité/star
cereals,céréales
chair,chaise
champagne,champagne
championship,championnat
changing room,cabine d’essayage
changing rooms,vestiaires
character,caractère
character trait,trait
character/personality,personnalité
charming,charmant
chatroom,forum
chatty,bavard
cheeky,effronté
cheese,fromage
cherry,cerise
chess,jeu d’échecs/échecs
chicken,poulet
child,enfant
chips,frites
chocolate,chocolat
choice,choix
lamb chop,côtelette d'agneau
pork chop,côtelette de porc
Christmas,Noël
Christmas Eve,veille de Noël
cider,cidre
clarinet,clarinette
classical/classic,classique
climbing/rock climbing,escalade
closed,fermé
clothes,vêtements
clothes shop,magasin de mode
club,club
coat/overcoat,manteau
cocoa,cacao
coffee,café
cold sliced meat,saucisson
collect,collectionner
collection,collection
comfortable (at ease),à l’aise
comic (magazine),BD
competition,concours/compétition
computer,ordinateur
computer game,jeu vidéo
conceited,vaniteux/vaniteuse
concert,concert
connection,lien/connexion
cooked/boiled,cuit
made of cotton,en coton
cousin,cousin/cousine
cream,crème
crisps,chips
cucumber,concombre
cucumber,concombre
cup,tasse
curly,bouclé/frisé
customer,client/cliente
cyber bullying,cyber harcèlement
cycling,cyclisme
dad,papa
dance/dancing,danse
date of birth,date de naissance
daughter,fille
dead,mort
delicious,délicieux/délicieuse
depressed,déprimé
dessert,dessert
detective/mystery/police (film),polar/film policier
detective/police (story),roman policier
digital,numérique
dining room,salle à manger
dining room,salle à manger
disco,disco
discrimination,discrimination
dish of the day,plat du jour
disk,disquette
divorced,divorcé
DIY (do it yourself),bricolage
documentary,documentaire
dog,chien
drama (TV etc.),comédie dramatique
dress,robe
dressed in,habillé/vêtu de
dressing gown,robe de chambre
drink,boisson
drink before meal,apéritif
drums,batterie
dubbed (film),doublé
duck,canard
dyed,teint
earphones,écouteurs
earring,boucle d’oreille
Easter,Pâques
Easter Monday,lundi de Pâques
egg,oeuf
e-mail,mail/courrier électronique
engaged,fiancé/fiancée
engagement,fiançailles
engagement,fianςailles
enjoy your meal!,bon appétit
entertainment,divertissement
equipment,équipement
euro,euro
evening meal/dinner,repas du soir/dîner
extreme sports,sports extrêmes
eyes,yeux
face,visage
faith (religious),foi
family,famille
famous,célèbre
fanatical about,fanatique de
fantasy film,film de fantaisie
fashion,mode
fashionable,à la mode
father,père
feeling,sentiment
fencing,escrime
fiancée,fiancée
fiancé,fiancé
first name,prénom
fish,poisson
fishing rod,canne à pêche
fitting room,cabine d’essayage
fixed price menu,menu à prix fixe
flat/apartment,appartement
flute,flûte
folk music,musique folk
food,alimentation
food,nourriture
food shopping,provisions
football,football
fork,fourchette
free time,temps libre
French stick (i.e. long loaf of bread),baguette
fried egg,oeuf au plat
friend,ami/amie
friend (also boyfriend/girlfriend),copain/copine
friendly,amical/e
friendship,amitié
frogs’ legs,cuisses de grenouille
fruit,fruit
fruit juice,jus de fruit
fruit pie,tarte aux fruits
fruit tea,infusion
full fat milk,lait entier
furnished,meublé
furniture,meubles
game,jeu
games console,console de jeux
gang,bande
garage,garage
garden,jardin
garlic,ail
gender/sex,sexe
generous,généreux/généreuse
girl,fille
glass,verre
glasses,lunettes
glove,gant
goal,but
goat’s cheese,fromage de chèvre
goldfish,poisson rouge
Good Friday,vendredi saint
goose,oie
goose liver pâté,pâté de foie gras
grandad,papy/pépé
grandchild,petit-fils/petite-fille
grandfather,grand-père
grandma/granny,mamie/mémé
grandmother,grand-mère
grandparents,grands-parents
grapefruit,pamplemousse
grapes,raisins
gravy,jus
green beans,haricots verts
guinea pig,cochon d’Inde
guitar,guitar
guy/dude/bloke,mec
gymnastics,gymnastique
hair,cheveux
half-sister,demi-soeur
half-time,mi-temps
lobby,vestibule
ham,jambon
hamburger,hamburger
hamster,hamster
handbag,sac à main
handball,handball
Happy birthday,Bon anniversaire
Happy New Year,Bonne année
hat,chapeau
hobby/leisure activity,passe-temps
hockey,hockey
homemade,fait maison/faite maison
homepage,page d’accueil
honest,honnête
honey,miel
horror film,film d’épouvante/film d’horreur
hot chocolate,chocolat chaud
house,maison
husband,mari
hypermarket,hypermarché
ice cream,glace
ice cream parlour,glacier
ice skating,patinage/patin à glace
ideal,idéal
identical twins,vrais jumeaux/vraies jumelles
in a good/bad mood,de bonne/mauvaise humeur
in love,amoureux/amoureuse
independent,indépendant/indépendante
inn (traditional),auberge
intelligent,intelligent
internet,internet
internet page,page internet
invitation,invitation
it suits you,il te va bien
jacket,veste
jam,confiture
jar,pot
jealous,jaloux/jalouse
jeans,jean
jeweller’s (shop)/jewellery (craft),bijouterie
jewels,bijoux
judo,judo
juice,jus
karate,karaté
kebab,brochette
keyboard,clavier
kiss,baiser
kitchen,cuisine
knife,couteau
knowledge,connaissances
lamb,agneau
lazy,paresseux/paresseuse
league/division (sports),ligue
leather/made of leather,cuir/en cuir
leeks,poireaux
leggings,caleçon
leisure,loisirs
lemon,citron
lemonade,limonade
Lent,Carême
lettuce,laitue
lettuce/salad,salade
life,vie
life,vie
made of linen,en lin
lipstick,rouge à lèvres
lively,animé
living room/front room,salle de séjour/séjour
loaf,pain
loft,grenier
loose (i.e. too big),large
lounge,salon
loyal/faithful,fidèle
lunch,déjeuner
mad/crazy,fou/folle
magazine,magazine/revue
main course,plat principal
make/brand,marque
makeup,maquillage
man,homme
margarine,margarine
marriage ceremony/wedding,noces
marriage/wedding,mariage
married,marié
martial arts,arts martiaux
meal,repas
mean/nasty,méchant
meat,viande
meatball,boulette
medium (size),de taille moyenne
medium (steak),à point
meeting,réunion
melody/tune,mélodie
melon,melon
member of the family,membre de la famille
menu,carte
milk,lait
mince,viande hâchée
mineral water,eau minérale
mixed,mélangé
mobile phone,portable
model,mannequin
money,argent
mood,humeur
mother,mère
mothers’ day,fête des mères
mountain bike,VTT/vélo tout terrain
mountaineering,alpinisme
moustache,moustache
mouth,bouche
MP3 player,mp3
multicultural,multiculturel
mum,maman
mushroom,champignon
music,musique
musical comedy (a musical),comédie musicale
mustard,moutarde
napkin,serviette
naughty,méchant/vilain
necklace,collier
neighbour,voisin/voisine
nephew,neveu
New Year,Nouvel An
news,actualités/informations/infos
nice/kind,gentil/le
nice/likeable,sympa
nickname,surnom
niece,nièce
nightclub,boîte de nuit
nightdress,chemise de nuit
noodles,nouilles
normal,normal/normale
oil,huile
old,vieux/vieille
old fashioned,démodé
old fashioned (vintage/retro style),rétro
old people’s home,maison de retraite
older,plus âgé/plus âgée
oldest (brother/sister),aîné/aînée
omelette,omelette
onion,oignon
only child,fils unique/fille unique
optimistic,optimiste
orange,orange
orchestra,orchestre
original version,version originale
packet,paquet
pants/briefs,culotte/slip
parachuting,parachutage
paragliding,parapente
parents,parents/parente
party,fête
party,surprise-partie
password,mot de passe
pasta,pâtes
pastries,pâtisseries
pâté,pâté
peach,pêche
pear,poire
peas,petits pois
penfriend,correspondant/correspondante
pensioner/senior citizen,retraité
people,gens
pepper,poivre
pepper (vegetable),poivron
perfume,parfum
person,personne
pessimistic,pessimiste
pet,animal domestique
petanque (outdoor game similar to bowls),pétanqu/boules
piano,piano
picture,image
piece of bread (with butter/jam often for breakfast),tartine
pineapple,ananas
pistachio,pistache
pizza,pizza
pizzeria/pizza restaurant,pizzeria
place of residence,domicile
place setting,couvert
plate,assiette
play (theatre),pièce de théâtre
player,joueur/joueuse
pleasure/amusement,plaisir
plum,prune
pocket money,argent de poche
poloshirt,polo
pop music,musique pop
pork,porc
portion,portion
pot of coffee,cafetière
potato,pomme de terre
prepared food/ready meal,plat cuisiné
present/gift,cadeau
pretentious,prétentieux/prétentieuse
priest,prêtre/curé
pyjamas,pyjama
quiz show,jeu télévisé
rabbit,lapin
race/racing,course
racist,raciste
radish,radis
rap,rap
rare (steak),saignant
raspberry,framboise
raw,cru
raw vegetables starter,crudités
reading,lecture
reasonable,raisonnable
recorder (instrument),flute à bec
referee,arbitre
relationship,rapports
relationship,rapports
relative/relation,parent
reliable,fiable
religion,religion
remote control,télécommande
rest day/day off,journée de repos
restaurant,restaurant
rice,riz
riding,équitation
ring,bague
risk,risque
roast,rôti
rock music,rock
role model,modèle
roll (bread),petit pain
roller blading,roller
romantic,romantique
romantic film/love film,film romantique
rowing,aviron
rugby,rugby
sailing,voile
sailing boat,voilier
salad dressing,sauce vinaigrette
salmon,saumon
salt,sel
salty/savoury,salé
sandwich,sandwich
satellite TV,télévision satellite
saucer,soucoupe
sausage,saucisse
saxophone,saxophone
scarf,écharpe
science fiction film,film de science-fiction
scrambled egg,oeufs brouillés
screen,écran
scuba diving,plongée sous-marine
sea food,fruits de mer
security,sécurité
myself,moi-même
self- confident,sûr de soi
self-confident,confiant
selfish,égoïste
self-service,self-service/self
semi-detached house,maison jumelée
semi-skimmed milk,lait demi-écrémé
sense of humour,sens de l’humour
sensitive,sensible
separated,séparé
series,série
serious,sérieux/sérieuse
service,service
sexist,sexiste
shirt,chemise
shoe,chaussure
shoe shop,magasin de chaussures
shorts,short
show (theatre etc.)/TV show,spectacle/émission
made of silk,en soire
similar,similaire
singer,chanteur/chanteuse
single,célibataire
single parent,mère/père célibataire
single person/single,célibataire
sister,soeur
sitcom,comédie de situation
shoe size,pointure
size (general),taille
skate boarding,skate
skiing,ski
skirt,jupe
slice,tranche
slipper,pantoufle
slippers,pantoufles
small,petit
smart,chic
smoked,fumé
snack,casse-croûte
snack bar,snack-bar/casse-croûte
snails,escargots
soap (opera),feuilleton
social network,réseau social
sock,chaussette
sofa/settee,sofa
software,logiciel
son,fils
song,chanson
son-in-law/daughter-in-law,beau-fils/belle-fille
soup,soupe/potage
speciality,spécialité
spicy,épicé
spinach,épinards
spoilt,gâté
