infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,passe simple 1p-s,passe simple 2p-s,passe simple 3p-s,passe simple 1p-p,passe simple 2p-p,passe simple 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,imperative 2p-s,imperative 1p-p,imperative 2p-p,passe compose 1p-s,passe compose 2p-s,passe compose 3p-s,passe compose 1p-p,passe compose 2p-p,passe compose 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,past imperative 2p-s,past imperative 1p-p,past imperative 2p-p,gerund
acheter,to buy,False,achète,achètes,achète,achetons,achetez,achètent,achetais,achetais,achetait,achetions,achetiez,achetaient,achetai,achetas,acheta,achetâmes,achetâtes,achetèrent,achèterai,achèteras,achètera,achèterons,achèterez,achèteront,achèterais,achèterais,achèterait,achèterions,achèteriez,achèteraient,achète,achètes,achète,achetions,achetiez,achètent,achetasse,achetasses,achetât,achetassions,achetassiez,achetassent,achète,achetons,achetez,ai acheté,as acheté,a acheté,avons acheté,avez acheté,ont acheté,avais acheté,avais acheté,avait acheté,avions acheté,aviez acheté,avaient acheté,aurai acheté,auras acheté,aura acheté,aurons acheté,aurez acheté,auront acheté,aurais acheté,aurais acheté,aurait acheté,aurions acheté,auriez acheté,auraient acheté,aie acheté,aies acheté,ait acheté,ayons acheté,ayez acheté,aient acheté,eusse acheté,eusses acheté,eût acheté,eussions acheté,eussiez acheté,eussent acheté,eus acheté,eus acheté,eut acheté,eûmes acheté,eûtes acheté,eurent acheté,aie acheté,ayons acheté,ayez acheté,achetant
aider,to help,False,aide,aides,aide,aidons,aidez,aident,aidais,aidais,aidait,aidions,aidiez,aidaient,aidai,aidas,aida,aidâmes,aidâtes,aidèrent,aiderai,aideras,aidera,aiderons,aiderez,aideront,aiderais,aiderais,aiderait,aiderions,aideriez,aideraient,aide,aides,aide,aidions,aidiez,aident,aidasse,aidasses,aidât,aidassions,aidassiez,aidassent,aide,aidons,aidez,ai aidé,as aidé,a aidé,avons aidé,avez aidé,ont aidé,avais aidé,avais aidé,avait aidé,avions aidé,aviez aidé,avaient aidé,aurai aidé,auras aidé,aura aidé,aurons aidé,aurez aidé,auront aidé,aurais aidé,aurais aidé,aurait aidé,aurions aidé,auriez aidé,auraient aidé,aie aidé,aies aidé,ait aidé,ayons aidé,ayez aidé,aient aidé,eusse aidé,eusses aidé,eût aidé,eussions aidé,eussiez aidé,eussent aidé,eus aidé,eus aidé,eut aidé,eûmes aidé,eûtes aidé,eurent aidé,aie aidé,ayons aidé,ayez aidé,aidant
acquérir,to acquire,True,acquiers,acquiers,acquiert,acquérons,acquérez,acquièrent,acquérais,acquérais,acquérait,acquérions,acquériez,acquéraient,acquis,acquis,acquit,acquîmes,acquîtes,acquirent,acquerrai,acquerras,acquerra,acquerrons,acquerrez,acquerront,acquerrais,acquerrais,acquerrait,acquerrions,acquerriez,acquerraient,acquière,acquières,acquière,acquérions,acquériez,acquièrent,acquisse,acquisses,acquît,acquissions,acquissiez,acquissent,acquiers,acquérons,acquérez,ai acquis,as acquis,a acquis,avons acquis,avez acquis,ont acquis,avais acquis,avais acquis,avait acquis,avions acquis,aviez acquis,avaient acquis,aurai acquis,auras acquis,aura acquis,aurons acquis,aurez acquis,auront acquis,aurais acquis,aurais acquis,aurait acquis,aurions acquis,auriez acquis,auraient acquis,aie acquis,aies acquis,ait acquis,ayons acquis,ayez acquis,aient acquis,eusse acquis,eusses acquis,eût acquis,eussions acquis,eussiez acquis,eussent acquis,eus acquis,eus acquis,eut acquis,eûmes acquis,eûtes acquis,eurent acquis,aie acquis,ayons acquis,ayez acquis,acquérant
absoudre,to absolve,True,absous,absous,absout,absolvons,absolvez,absolvent,absolvais,absolvais,absolvait,absolvions,absolviez,absolvaient,,,,,,,absoudrai,absoudras,absoudra,absoudrons,absoudrez,absoudront,absoudrais,absoudrais,absoudrait,absoudrions,absoudriez,absoudraient,absolve,absolves,absolve,absolvions,absolviez,absolvent,,,,,,,absous,absolvons,absolvez,ai absous;absout,as absous;absout,a absous;absout,avons absous;absout,avez absous;absout,ont absous;absout,avais absous;absout,avais absous;absout,avait absous;absout,avions absous;absout,aviez absous;absout,avaient absous;absout,aurai absous;absout,auras absous;absout,aura absous;absout,aurons absous;absout,aurez absous;absout,auront absous;absout,aurais absous;absout,aurais absous;absout,aurait absous;absout,aurions absous;absout,auriez absous;absout,auraient absous;absout,aie absous;absout,aies absous;absout,ait absous;absout,ayons absous;absout,ayez absous;absout,aient absous;absout,eusse absous;absout,eusses absous;absout,eût absous;absout,eussions absous;absout,eussiez absous;absout,eussent absous;absout,eus absous;absout,eus absous;absout,eut absous;absout,eûmes absous;absout,eûtes absous;absout,eurent absous;absout,aie absous;absout,ayons absous;absout,ayez absous;absout,absolvant
accepter,to accept,False,accepte,acceptes,accepte,acceptons,acceptez,acceptent,acceptais,acceptais,acceptait,acceptions,acceptiez,acceptaient,acceptai,acceptas,accepta,acceptâmes,acceptâtes,acceptèrent,accepterai,accepteras,acceptera,accepterons,accepterez,accepteront,accepterais,accepterais,accepterait,accepterions,accepteriez,accepteraient,accepte,acceptes,accepte,acceptions,acceptiez,acceptent,acceptasse,acceptasses,acceptât,acceptassions,acceptassiez,acceptassent,accepte,acceptons,acceptez,ai accepté,as accepté,a accepté,avons accepté,avez accepté,ont accepté,avais accepté,avais accepté,avait accepté,avions accepté,aviez accepté,avaient accepté,aurai accepté,auras accepté,aura accepté,aurons accepté,aurez accepté,auront accepté,aurais accepté,aurais accepté,aurait accepté,aurions accepté,auriez accepté,auraient accepté,aie accepté,aies accepté,ait accepté,ayons accepté,ayez accepté,aient accepté,eusse accepté,eusses accepté,eût accepté,eussions accepté,eussiez accepté,eussent accepté,eus accepté,eus accepté,eut accepté,eûmes accepté,eûtes accepté,eurent accepté,aie accepté,ayons accepté,ayez accepté,acceptant
accourir,to hurry,True,accours,accours,accourt,accourons,accourez,accourent,accourais,accourais,accourait,accourions,accouriez,accouraient,accourus,accourus,accourut,accourûmes,accourûtes,accoururent,accourrai,accourras,accourra,accourrons,accourrez,accourront,accourrais,accourrais,accourrait,accourrions,accourriez,accourraient,accoure,accoures,accoure,accourions,accouriez,accourent,accourusse,accourusses,accourût,accourussions,accourussiez,accourussent,accours,accourons,accourez,ai accouru,as accouru,a accouru,avons accouru,avez accouru,ont accouru,avais accouru,avais accouru,avait accouru,avions accouru,aviez accouru,avaient accouru,aurai accouru,auras accouru,aura accouru,aurons accouru,aurez accouru,auront accouru,aurais accouru,aurais accouru,aurait accouru,aurions accouru,auriez accouru,auraient accouru,aie accouru,aies accouru,ait accouru,ayons accouru,ayez accouru,aient accouru,eusse accouru,eusses accouru,eût accouru,eussions accouru,eussiez accouru,eussent accouru,eus accouru,eus accouru,eut accouru,eûmes accouru,eûtes accouru,eurent accouru,aie accouru,ayons accouru,ayez accouru,accourant
admettre,to admit,True,admets,admets,admet,admettons,admettez,admettent,admettais,admettais,admettait,admettions,admettiez,admettaient,admis,admis,admit,admîmes,admîtes,admirent,admettrai,admettras,admettra,admettrons,admettrez,admettront,admettrais,admettrais,admettrait,admettrions,admettriez,admettraient,admette,admettes,admette,admettions,admettiez,admettent,admisse,admisses,admît,admissions,admissiez,admissent,admets,admettons,admettez,ai admis,as admis,a admis,avons admis,avez admis,ont admis,avais admis,avais admis,avait admis,avions admis,aviez admis,avaient admis,aurai admis,auras admis,aura admis,aurons admis,aurez admis,auront admis,aurais admis,aurais admis,aurait admis,aurions admis,auriez admis,auraient admis,aie admis,aies admis,ait admis,ayons admis,ayez admis,aient admis,eusse admis,eusses admis,eût admis,eussions admis,eussiez admis,eussent admis,eus admis,eus admis,eut admis,eûmes admis,eûtes admis,eurent admis,aie admis,ayons admis,ayez admis,admettant
abaisser,to lower,False,abaisse,abaisses,abaisse,abaissons,abaissez,abaissent,abaissais,abaissais,abaissait,abaissions,abaissiez,abaissaient,abaissai,abaissas,abaissa,abaissâmes,abaissâtes,abaissèrent,abaisserai,abaisseras,abaissera,abaisserons,abaisserez,abaisseront,abaisserais,abaisserais,abaisserait,abaisserions,abaisseriez,abaisseraient,abaisse,abaisses,abaisse,abaissions,abaissiez,abaissent,abaissasse,abaissasses,abaissât,abaissassions,abaissassiez,abaissassent,abaisse,abaissons,abaissez,ai abaissé,as abaissé,a abaissé,avons abaissé,avez abaissé,ont abaissé,avais abaissé,avais abaissé,avait abaissé,avions abaissé,aviez abaissé,avaient abaissé,aurai abaissé,auras abaissé,aura abaissé,aurons abaissé,aurez abaissé,auront abaissé,aurais abaissé,aurais abaissé,aurait abaissé,aurions abaissé,auriez abaissé,auraient abaissé,aie abaissé,aies abaissé,ait abaissé,ayons abaissé,ayez abaissé,aient abaissé,eusse abaissé,eusses abaissé,eût abaissé,eussions abaissé,eussiez abaissé,eussent abaissé,eus abaissé,eus abaissé,eut abaissé,eûmes abaissé,eûtes abaissé,eurent abaissé,aie abaissé,ayons abaissé,ayez abaissé,abaissant
accueillir,to welcome,True,accueille,accueilles,accueille,accueillons,accueillez,accueillent,accueillais,accueillais,accueillait,accueillions,accueilliez,accueillaient,accueillis,accueillis,accueillit,accueillîmes,accueillîtes,accueillirent,accueillerai,accueilleras,accueillera,accueillerons,accueillerez,accueilleront,accueillerais,accueillerais,accueillerait,accueillerions,accueilleriez,accueilleraient,accueille,accueilles,accueille,accueillions,accueilliez,accueillent,accueillisse,accueillisses,accueillît,accueillissions,accueillissiez,accueillissent,accueille,accueillons,accueillez,ai accueilli,as accueilli,a accueilli,avons accueilli,avez accueilli,ont accueilli,avais accueilli,avais accueilli,avait accueilli,avions accueilli,aviez accueilli,avaient accueilli,aurai accueilli,auras accueilli,aura accueilli,aurons accueilli,aurez accueilli,auront accueilli,aurais accueilli,aurais accueilli,aurait accueilli,aurions accueilli,auriez accueilli,auraient accueilli,aie accueilli,aies accueilli,ait accueilli,ayons accueilli,ayez accueilli,aient accueilli,eusse accueilli,eusses accueilli,eût accueilli,eussions accueilli,eussiez accueilli,eussent accueilli,eus accueilli,eus accueilli,eut accueilli,eûmes accueilli,eûtes accueilli,eurent accueilli,aie accueilli,ayons accueilli,ayez accueilli,accueillant
accuser,"to accuse, acknowledge",False,accuse,accuses,accuse,accusons,accusez,accusent,accusais,accusais,accusait,accusions,accusiez,accusaient,accusai,accusas,accusa,accusâmes,accusâtes,accusèrent,accuserai,accuseras,accusera,accuserons,accuserez,accuseront,accuserais,accuserais,accuserait,accuserions,accuseriez,accuseraient,accuse,accuses,accuse,accusions,accusiez,accusent,accusasse,accusasses,accusât,accusassions,accusassiez,accusassent,accuse,accusons,accusez,ai accusé,as accusé,a accusé,avons accusé,avez accusé,ont accusé,avais accusé,avais accusé,avait accusé,avions accusé,aviez accusé,avaient accusé,aurai accusé,auras accusé,aura accusé,aurons accusé,aurez accusé,auront accusé,aurais accusé,aurais accusé,aurait accusé,aurions accusé,auriez accusé,auraient accusé,aie accusé,aies accusé,ait accusé,ayons accusé,ayez accusé,aient accusé,eusse accusé,eusses accusé,eût accusé,eussions accusé,eussiez accusé,eussent accusé,eus accusé,eus accusé,eut accusé,eûmes accusé,eûtes accusé,eurent accusé,aie accusé,ayons accusé,ayez accusé,accusant
