English,FrenchTranslations
13:00,treize heures/13h00
1,un/une
2,deux
3,trois
4,quatre
5,cinq
6,six
7,sept
8,huit
9,neuf
10,dix
11,onze
12,douze
13,treize
14,quatorze
15,quinze
16,seize
17,dix-sept
18,dix-huit
19,dix-neuf
20,vingt
21,vingt et un
22,vingt-deux
23,vingt-trois
24,vingt-quatre
25,vingt-cinq
26,vingt-six
27,vingt-sept
28,vingt-huit
29,vingt-neuf
30,trente
31,trente et un
32,trente-deux
40,quarante
50,cinquante
60,soixante
70,soixante-dix
71,soixante et onze
72,soixante-douze
73,soixante-treize
74,soixante-quatorze
75,soixante-quinze
76,soixante-seize
77,soixante-dix-sept
78,soixante-dix-huit
79,soixante-dix-neuf
80,quatre-vingts
81,quatre-vingt-un
82,quatre-vingt-deux
90,quatre-vingt-dix
91,quatre-vingt-onze
92,quatre-vingt-douze
100,cent/centaine
101,cent un/cent une
120,cent vingt
200,deux cents
1000,mille
1100,mille cent
2000,deux mille
(for) a long time,longtemps
1 000 000,un million
1 p.m.,une heure de l’après-midi/13h00
2 000 000,deux millions
a bottle of,une bouteille de
a dozen,une douzaine de
a good deed,une bonne action
a jar of,un pot de
a kilo of,un kilo de
a litre of,un litre de
a little of/few,un peu de
a lot of/many,beaucoup de
a packet of,un paquet de
a piece/a lump of,un morceau de
a slice of,une tranche de
a tin/box of,une boîte de
about a hundred,une centaine de
about twenty,une vingtaine de
above,en haut/au-dessus de/au dessus/au dessus de
abroad,à l’étranger
absent,absent
accommodation,logement
according to,selon
achievement/performance,niveau
acquaintance/friend,connaissance
active,actif/active
activity,activité
actor,acteur
actress,actrice
address,adresse
administrative area of France,département
adolescent,adolescent/adolescente/ado
adopted,adopté
adult/grown-up,adulte
advantages,avantages
adventure film,film d’aventure/d’action
adventurous,aventureux/aventureuse
advertisement,annonce/publicité
Africa,Afrique
after,après
afternoon,après-midi/midi
again,encore/encore une fois/de nouveau
against,contre
age,âge
agricultural,agricole
aim/goal,but
air conditioning/air-con,climatisation
air hostess,hôtesse de l’air
air steward,steward de l’air
air transport,transport aérien
airport,aéroport
A-Levels,bac
Algeria,Algérie
Algerian,algérien/algérienne 
alike/the same,pareil/le même/même
all the better,tant mieux
almost,presque/quasi/quasiment
alone,seul
already,déjà
also,aussi
always,toujours
ambition,ambition
American,américain
among,parmi
and,et
animals,animaux
annoying,agaçant
answer,réponse
answerphone,répondeur
appetising,appétissant
appetite,appétit
apple,pomme
appointment,rendez-vous
appointment/meeting,rendez-vous
apprentice,apprenti/apprentie
apprenticeship,apprentissage
apricot,abricot
April,avril
archery,tir à l’arc
architect,architecte
area (in town),quartier
area code,indicatif/indicatif régional/code de zone/code régional
argument,dispute
armchair,fauteuil
around,autour de
arrival,arrivée
art,dessin
art gallery,galerie d’art
artichoke,artichaut
artist,artiste
as far as,jusqu’à
as soon as,dès que
as/like,comme
Asia,Asie
at 1 a.m.,à une heure du matin/1h00
at about 3 o’clock,vers trois heures
at exactly 2 o’clock,à deux heures pile
at home/at my/our house,chez moi/nous
at the end of,au bout de/à la fin de
at the house of,chez
at the same time,en même temps
at the seaside,au bord de la mer
at the start,au début
at what time?,à quelle heure?
at/to,à
athletics,athlétisme
Atlantic ocean,l’océan Atlantique
ATM/cash point,distributeur d’argent
August,août
aunt,tante
Australia,Australie
Austria ,Autriche
Austrian,autrichien/autrichienne
average temperature,température moyenne
baby,bébé
bad,mauvais
badly paid,mal payé
badminton,badminton
baker,boulanger/boulangère
bakery/baker’s shop,boulangerie
balcony,balcon
bald,chauve
ball,ballon
ballpoint pen,stylo bille
banana,banane
band/group,groupe
bank,banque
bar,bar
basement,sous-sol
basketball,basket
bath,bain
bathroom,salle de bains/salle de bain
beach,plage
bean,haricot
beard,barbe
beautiful,beau/belle
because,parce que/car
because of,à cause de
bed,lit
bed and breakfast accommodation,chambre d’hôte
bed linen,linge de lit
bedlinen,linge de lit
bedroom,chambre
beef,boeuf
beer,bière
beer (from the pump),pression
before,avant
behind,derrière
Belgian,belge
Belgium,Belgique
