infinitive,infinitive_english,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,future 1p-s,future 2p-s,future 3p-s,future 1p-p,future 2p-p,future 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,preterite 1p-s,preterite 2p-s,preterite 3p-s,preterite 1p-p,preterite 2p-p,preterite 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,present perfect 1p-s,present perfect 2p-s,present perfect 3p-s,present perfect 1p-p,present perfect 2p-p,present perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,preterite perfect 1p-s,preterite perfect 2p-s,preterite perfect 3p-s,preterite perfect 1p-p,preterite perfect 2p-p,preterite perfect 3p-p,conditional perfect 1p-s,conditional perfect 2p-s,conditional perfect 3p-s,conditional perfect 1p-p,conditional perfect 2p-p,conditional perfect 3p-p,subjunctive present 1p-s,subjunctive present 2p-s,subjunctive present 3p-s,subjunctive present 1p-p,subjunctive present 2p-p,subjunctive present 3p-p,subjunctive imperfect 1p-s,subjunctive imperfect 2p-s,subjunctive imperfect 3p-s,subjunctive imperfect 1p-p,subjunctive imperfect 2p-p,subjunctive imperfect 3p-p,subjunctive future 1p-s,subjunctive future 2p-s,subjunctive future 3p-s,subjunctive future 1p-p,subjunctive future 2p-p,subjunctive future 3p-p,subjunctive present perfect 1p-s,subjunctive present perfect 2p-s,subjunctive present perfect 3p-s,subjunctive present perfect 1p-p,subjunctive present perfect 2p-p,subjunctive present perfect 3p-p,subjunctive future perfect 1p-s,subjunctive future perfect 2p-s,subjunctive future perfect 3p-s,subjunctive future perfect 1p-p,subjunctive future perfect 2p-p,subjunctive future perfect 3p-p,subjunctive past perfect 1p-s,subjunctive past perfect 2p-s,subjunctive past perfect 3p-s,subjunctive past perfect 1p-p,subjunctive past perfect 2p-p,subjunctive past perfect 3p-p,imperative affirmative present 1p-s,imperative affirmative present 2p-s,imperative affirmative present 3p-s,imperative affirmative present 1p-p,imperative affirmative present 2p-p,imperative affirmative present 3p-p,imperative negative present 1p-s,imperative negative present 2p-s,imperative negative present 3p-s,imperative negative present 1p-p,imperative negative present 2p-p,imperative negative present 3p-p
abandonar,to abandon/leave behind OR to quit/give up,abandono,abandonas,abandona,abandonamos,abandonáis,abandonan,abandonaré,abandonarás,abandonará,abandonaremos,abandonaréis,abandonarán,abandonaba,abandonabas,abandonaba,abandonábamos,abandonabais,abandonaban,abandoné,abandonaste,abandonó,abandonamos,abandonasteis,abandonaron,abandonaría,abandonarías,abandonaría,abandonaríamos,abandonaríais,abandonarían,he abandonado,has abandonado,ha abandonado,hemos abandonado,habéis abandonado,han abandonado,habré abandonado,habrás abandonado,habrá abandonado,habremos abandonado,habréis abandonado,habrán abandonado,había abandonado,habías abandonado,había abandonado,habíamos abandonado,habíais abandonado,habían abandonado,hube abandonado,hubiste abandonado,hubo abandonado,hubimos abandonado,hubisteis abandonado,hubieron abandonado,habría abandonado,habrías abandonado,habría abandonado,habríamos abandonado,habríais abandonado,habrían abandonado,abandone,abandones,abandone,abandonemos,abandonéis,abandonen,abandonara,abandonaras,abandonara,abandonáramos,abandonarais,abandonaran,abandonare,abandonares,abandonare,abandonáremos,abandonareis,abandonaren,haya abandonado,hayas abandonado,haya abandonado,hayamos abandonado,hayáis abandonado,hayan abandonado,hubiere abandonado,hubieres abandonado,hubiere abandonado,hubiéremos abandonado,hubiereis abandonado,hubieren abandonado,hubiera abandonado,hubieras abandonado,hubiera abandonado,hubiéramos abandonado,hubierais abandonado,hubieran abandonado,N/A,abandona,abandonad,N/A,abandone,abandonen,N/A,no abandones,no abandonéis,N/A,no abandone,no abandonen
abordar,to board/get on,abordo,abordas,aborda,abordamos,abordáis,abordan,abordaré,abordarás,abordará,abordaremos,abordaréis,abordarán,abordaba,abordabas,abordaba,abordábamos,abordabais,abordaban,abordé,abordaste,abordó,abordamos,abordasteis,abordaron,abordaría,abordarías,abordaría,abordaríamos,abordaríais,abordarían,he abordado,has abordado,ha abordado,hemos abordado,habéis abordado,han abordado,habré abordado,habrás abordado,habrá abordado,habremos abordado,habréis abordado,habrán abordado,había abordado,habías abordado,había abordado,habíamos abordado,habíais abordado,habían abordado,hube abordado,hubiste abordado,hubo abordado,hubimos abordado,hubisteis abordado,hubieron abordado,habría abordado,habrías abordado,habría abordado,habríamos abordado,habríais abordado,habrían abordado,aborde,abordes,aborde,abordemos,abordéis,aborden,abordara,abordaras,abordara,abordáramos,abordarais,abordaran,abordare,abordares,abordare,abordáremos,abordareis,abordaren,haya abordado,hayas abordado,haya abordado,hayamos abordado,hayáis abordado,hayan abordado,hubiere abordado,hubieres abordado,hubiere abordado,hubiéremos abordado,hubiereis abordado,hubieren abordado,hubiera abordado,hubieras abordado,hubiera abordado,hubiéramos abordado,hubierais abordado,hubieran abordado,N/A,aborda,abordad,N/A,aborde,aborden,N/A,no abordes,no abordéis,N/A,no aborde,no aborden
abortar,to abort/cause to miscarry OR to have a miscarriage,aborto,abortas,aborta,abortamos,abortáis,abortan,abortaré,abortarás,abortará,abortaremos,abortaréis,abortarán,abortaba,abortabas,abortaba,abortábamos,abortabais,abortaban,aborté,abortaste,abortó,abortamos,abortasteis,abortaron,abortaría,abortarías,abortaría,abortaríamos,abortaríais,abortarían,he abortado,has abortado,ha abortado,hemos abortado,habéis abortado,han abortado,habré abortado,habrás abortado,habrá abortado,habremos abortado,habréis abortado,habrán abortado,había abortado,habías abortado,había abortado,habíamos abortado,habíais abortado,habían abortado,hube abortado,hubiste abortado,hubo abortado,hubimos abortado,hubisteis abortado,hubieron abortado,habría abortado,habrías abortado,habría abortado,habríamos abortado,habríais abortado,habrían abortado,aborte,abortes,aborte,abortemos,abortéis,aborten,abortara,abortaras,abortara,abortáramos,abortarais,abortaran,abortare,abortares,abortare,abortáremos,abortareis,abortaren,haya abortado,hayas abortado,haya abortado,hayamos abortado,hayáis abortado,hayan abortado,hubiere abortado,hubieres abortado,hubiere abortado,hubiéremos abortado,hubiereis abortado,hubieren abortado,hubiera abortado,hubieras abortado,hubiera abortado,hubiéramos abortado,hubierais abortado,hubieran abortado,N/A,aborta,abortad,N/A,aborte,aborten,N/A,no abortes,no abortéis,N/A,no aborte,no aborten
abrazar,to hug/embrace,abrazo,abrazas,abraza,abrazamos,abrazáis,abrazan,abrazaré,abrazarás,abrazará,abrazaremos,abrazaréis,abrazarán,abrazaba,abrazabas,abrazaba,abrazábamos,abrazabais,abrazaban,abracé,abrazaste,abrazó,abrazamos,abrazasteis,abrazaron,abrazaría,abrazarías,abrazaría,abrazaríamos,abrazaríais,abrazarían,he abrazado,has abrazado,ha abrazado,hemos abrazado,habéis abrazado,han abrazado,habré abrazado,habrás abrazado,habrá abrazado,habremos abrazado,habréis abrazado,habrán abrazado,había abrazado,habías abrazado,había abrazado,habíamos abrazado,habíais abrazado,habían abrazado,hube abrazado,hubiste abrazado,hubo abrazado,hubimos abrazado,hubisteis abrazado,hubieron abrazado,habría abrazado,habrías abrazado,habría abrazado,habríamos abrazado,habríais abrazado,habrían abrazado,abrace,abraces,abrace,abracemos,abracéis,abracen,abrazara,abrazaras,abrazara,abrazáramos,abrazarais,abrazaran,abrazare,abrazares,abrazare,abrazáremos,abrazareis,abrazaren,haya abrazado,hayas abrazado,haya abrazado,hayamos abrazado,hayáis abrazado,hayan abrazado,hubiere abrazado,hubieres abrazado,hubiere abrazado,hubiéremos abrazado,hubiereis abrazado,hubieren abrazado,hubiera abrazado,hubieras abrazado,hubiera abrazado,hubiéramos abrazado,hubierais abrazado,hubieran abrazado,N/A,abraza,abrazad,N/A,abrace,abracen,N/A,no abraces,no abracéis,N/A,no abrace,no abracen
abrir,to open,abro,abres,abre,abrimos,abrís,abren,abriré,abrirás,abrirá,abriremos,abriréis,abrirán,abría,abrías,abría,abríamos,abríais,abrían,abrí,abriste,abrió,abrimos,abristeis,abrieron,abriría,abrirías,abriría,abriríamos,abriríais,abrirían,he abierto,has abierto,ha abierto,hemos abierto,habéis abierto,han abierto,habré abierto,habrás abierto,habrá abierto,habremos abierto,habréis abierto,habrán abierto,había abierto,habías abierto,había abierto,habíamos abierto,habíais abierto,habían abierto,hube abierto,hubiste abierto,hubo abierto,hubimos abierto,hubisteis abierto,hubieron abierto,habría abierto,habrías abierto,habría abierto,habríamos abierto,habríais abierto,habrían abierto,abra,abras,abra,abramos,abráis,abran,abriera,abrieras,abriera,abriéramos,abrierais,abrieran,abriere,abrieres,abriere,abriéremos,abriereis,abrieren,haya abierto,hayas abierto,haya abierto,hayamos abierto,hayáis abierto,hayan abierto,hubiere abierto,hubieres abierto,hubiere abierto,hubiéremos abierto,hubiereis abierto,hubieren abierto,hubiera abierto,hubieras abierto,hubiera abierto,hubiéramos abierto,hubierais abierto,hubieran abierto,N/A,abre,abrid,N/A,abra,abran,N/A,no abras,no abráis,N/A,no abra,no abran
aburrir,to bore OR to tire/weary,aburro,aburres,aburre,aburrimos,aburrís,aburren,aburriré,aburrirás,aburrirá,aburriremos,aburriréis,aburrirán,aburría,aburrías,aburría,aburríamos,aburríais,aburrían,aburrí,aburriste,aburrió,aburrimos,aburristeis,aburrieron,aburriría,aburrirías,aburriría,aburriríamos,aburriríais,aburrirían,he aburrido,has aburrido,ha aburrido,hemos aburrido,habéis aburrido,han aburrido,habré aburrido,habrás aburrido,habrá aburrido,habremos aburrido,habréis aburrido,habrán aburrido,había aburrido,habías aburrido,había aburrido,habíamos aburrido,habíais aburrido,habían aburrido,hube aburrido,hubiste aburrido,hubo aburrido,hubimos aburrido,hubisteis aburrido,hubieron aburrido,habría aburrido,habrías aburrido,habría aburrido,habríamos aburrido,habríais aburrido,habrían aburrido,aburra,aburras,aburra,aburramos,aburráis,aburran,aburriera,aburrieras,aburriera,aburriéramos,aburrierais,aburrieran,aburriere,aburrieres,aburriere,aburriéremos,aburriereis,aburrieren,haya aburrido,hayas aburrido,haya aburrido,hayamos aburrido,hayáis aburrido,hayan aburrido,hubiere aburrido,hubieres aburrido,hubiere aburrido,hubiéremos aburrido,hubiereis aburrido,hubieren aburrido,hubiera aburrido,hubieras aburrido,hubiera aburrido,hubiéramos aburrido,hubierais aburrido,hubieran aburrido,N/A,aburre,aburrid,N/A,aburra,aburran,N/A,no aburras,no aburráis,N/A,no aburra,no aburran
aburrirse,to get bored/become bored/be bored,me aburro,te aburres,se aburre,nos aburrimos,os aburrís,se aburren,me aburriré,te aburrirás,se aburrirá,nos aburriremos,os aburriréis,se aburrirán,me aburría,te aburrías,se aburría,nos aburríamos,os aburríais,se aburrían,me aburrí,te aburriste,se aburrió,nos aburrimos,os aburristeis,se aburrieron,me aburriría,te aburrirías,se aburriría,nos aburriríamos,os aburriríais,se aburrirían,me he aburrido,te has aburrido,se ha aburrido,nos hemos aburrido,os habéis aburrido,se han aburrido,me habré aburrido,te habrás aburrido,se habrá aburrido,nos habremos aburrido,os habréis aburrido,se habrán aburrido,me había aburrido,te habías aburrido,se había aburrido,nos habíamos aburrido,os habíais aburrido,se habían aburrido,me hube aburrido,te hubiste aburrido,se hubo aburrido,nos hubimos aburrido,os hubisteis aburrido,se hubieron aburrido,me habría aburrido,te habrías aburrido,se habría aburrido,nos habríamos aburrido,os habríais aburrido,se habrían aburrido,me aburra,te aburras,se aburra,nos aburramos,os aburráis,se aburran,me aburriera,te aburrieras,se aburriera,nos aburriéramos,os aburrierais,se aburrieran,me aburriere,te aburrieres,se aburriere,nos aburriéremos,os aburriereis,se aburrieren,me haya aburrido,te hayas aburrido,se haya aburrido,nos hayamos aburrido,os hayáis aburrido,se hayan aburrido,me hubiere aburrido,te hubieres aburrido,se hubiere aburrido,nos hubiéremos aburrido,os hubiereis aburrido,se hubieren aburrido,me hubiera aburrido,te hubieras aburrido,se hubiera aburrido,nos hubiéramos aburrido,os hubierais aburrido,se hubieran aburrido,N/A,abúrrete,aburríos,N/A,abúrrase,abúrranse,N/A,no te aburras,no os aburráis,N/A,no se aburra,no se aburran
abusar,to go too far/take advantage,abuso,abusas,abusa,abusamos,abusáis,abusan,abusaré,abusarás,abusará,abusaremos,abusaréis,abusarán,abusaba,abusabas,abusaba,abusábamos,abusabais,abusaban,abusé,abusaste,abusó,abusamos,abusasteis,abusaron,abusaría,abusarías,abusaría,abusaríamos,abusaríais,abusarían,he abusado,has abusado,ha abusado,hemos abusado,habéis abusado,han abusado,habré abusado,habrás abusado,habrá abusado,habremos abusado,habréis abusado,habrán abusado,había abusado,habías abusado,había abusado,habíamos abusado,habíais abusado,habían abusado,hube abusado,hubiste abusado,hubo abusado,hubimos abusado,hubisteis abusado,hubieron abusado,habría abusado,habrías abusado,habría abusado,habríamos abusado,habríais abusado,habrían abusado,abuse,abuses,abuse,abusemos,abuséis,abusen,abusara,abusaras,abusara,abusáramos,abusarais,abusaran,abusare,abusares,abusare,abusáremos,abusareis,abusaren,haya abusado,hayas abusado,haya abusado,hayamos abusado,hayáis abusado,hayan abusado,hubiere abusado,hubieres abusado,hubiere abusado,hubiéremos abusado,hubiereis abusado,hubieren abusado,hubiera abusado,hubieras abusado,hubiera abusado,hubiéramos abusado,hubierais abusado,hubieran abusado,N/A,abusa,abusad,N/A,abuse,abusen,N/A,no abuses,no abuséis,N/A,no abuse,no abusen
acabar,to finish/end,acabo,acabas,acaba,acabamos,acabáis,acaban,acabaré,acabarás,acabará,acabaremos,acabaréis,acabarán,acababa,acababas,acababa,acabábamos,acababais,acababan,acabé,acabaste,acabó,acabamos,acabasteis,acabaron,acabaría,acabarías,acabaría,acabaríamos,acabaríais,acabarían,he acabado,has acabado,ha acabado,hemos acabado,habéis acabado,han acabado,habré acabado,habrás acabado,habrá acabado,habremos acabado,habréis acabado,habrán acabado,había acabado,habías acabado,había acabado,habíamos acabado,habíais acabado,habían acabado,hube acabado,hubiste acabado,hubo acabado,hubimos acabado,hubisteis acabado,hubieron acabado,habría acabado,habrías acabado,habría acabado,habríamos acabado,habríais acabado,habrían acabado,acabe,acabes,acabe,acabemos,acabéis,acaben,acabara,acabaras,acabara,acabáramos,acabarais,acabaran,acabare,acabares,acabare,acabáremos,acabareis,acabaren,haya acabado,hayas acabado,haya acabado,hayamos acabado,hayáis acabado,hayan acabado,hubiere acabado,hubieres acabado,hubiere acabado,hubiéremos acabado,hubiereis acabado,hubieren acabado,hubiera acabado,hubieras acabado,hubiera acabado,hubiéramos acabado,hubierais acabado,hubieran acabado,N/A,acaba,acabad,N/A,acabe,acaben,N/A,no acabes,no acabéis,N/A,no acabe,no acaben
acampar,to camp,acampo,acampas,acampa,acampamos,acampáis,acampan,acamparé,acamparás,acampará,acamparemos,acamparéis,acamparán,acampaba,acampabas,acampaba,acampábamos,acampabais,acampaban,acampé,acampaste,acampó,acampamos,acampasteis,acamparon,acamparía,acamparías,acamparía,acamparíamos,acamparíais,acamparían,he acampado,has acampado,ha acampado,hemos acampado,habéis acampado,han acampado,habré acampado,habrás acampado,habrá acampado,habremos acampado,habréis acampado,habrán acampado,había acampado,habías acampado,había acampado,habíamos acampado,habíais acampado,habían acampado,hube acampado,hubiste acampado,hubo acampado,hubimos acampado,hubisteis acampado,hubieron acampado,habría acampado,habrías acampado,habría acampado,habríamos acampado,habríais acampado,habrían acampado,acampe,acampes,acampe,acampemos,acampéis,acampen,acampara,acamparas,acampara,acampáramos,acamparais,acamparan,acampare,acampares,acampare,acampáremos,acampareis,acamparen,haya acampado,hayas acampado,haya acampado,hayamos acampado,hayáis acampado,hayan acampado,hubiere acampado,hubieres acampado,hubiere acampado,hubiéremos acampado,hubiereis acampado,hubieren acampado,hubiera acampado,hubieras acampado,hubiera acampado,hubiéramos acampado,hubierais acampado,hubieran acampado,N/A,acampa,acampad,N/A,acampe,acampen,N/A,no acampes,no acampéis,N/A,no acampe,no acampen
