setName,headerName,verbList
Beginner,Study Sets,hablar+necesitar+usar+hacer+estudiar+ir+deber+tener+pensar+vivir+escribir+estar+comer+salir+haber+ver+ser+empezar+nadar+tocar+descargar+beber+encantar+parecer+cantar+bailar+describir
Intermediate,Study Sets,conocer+parecer+poder+mirar+poner+llevar+llegar+saber+dar+encontrar+querer+preferir+abrir+decir+esperar+llover+fumar+lavar+perder+llorar+dibujar+conducir+terminar+disfrutar+pedir+presentar+correr+charlar
Advanced,Study Sets,cumplir+oír+sentir+seguir+vestir+amar+venir+pedir+existir+almorzar+cuidar+complacer+reembolsar+reemplazar+enseñar+planchar+saltar+merecer+discutir+vestirse+entrar+perdonar+doler+tirar+chocar+elegir
Master,Study Sets,atropellar+aterrizar+prestar+descolgar+equivocarse+dirigir+empujar+maquillarse+despedirse+afeitarse+preocuparse+entregar+anular+cliquear+suspender+rellenar+levantarse+acostarse+juntarse+arrepentirse+quejarse
Identity and culture,Module Sets,beber+comer+mandar+pagar+servir+charlar+cobrar+peinar+cocinar+hacer+disfrutar+sentirse+funcionar+correr+escuchar+jugar+ponerse+maquillarse+leer+reparar+ver+afeitar+gastar+sugerir+acompañar+caminar+mirar+preferir+comprar+entregar+caber+pagar+gastar+mudar+quejarse+conservar+abandonar+perder+lastimar+desaparecer+confirmar+caminar+correr+levantarse+odiar+reír+estar+bailar+pescar+ir+acompañar+caminar+juntarse+dormir+ofrecer+montar+tirar+patinar+nadar+aceptar+bucear+descansar+gustar+disgustar+reñir+cuidar+llamarse+cuidar+charlar+felicitar+dar+divorciarse+casarse+presentar+convidar+besar+conocer+preferir+apoyar+visitar+padecer+charlar+borrar+depositar+cocinar+temer+romper+respirar+toser+morir+hacer+beber+comer+caer+sentirse+caminar+lastimar+tener+doler+preparar+correr+dormir+oler+fumar+parar+tomar+probar+avisar+enfermarse+acostumbrarse+mover
Local area/ holiday and travel,Module Sets,atravesar+funcionar+viajar+abordar+reservar+ocurrir+mudar+llover+brillar+nevar+ir+visitar+ver+trabajar+llegar+reservar+acampar+funcionar+alquilar+quedarse+confirmar+llegar+tardar+mudar+irse+abordar+lastimar+olvidar+contaminar+viajar+abordar+ubicar+atravesar+proseguir+ir+pagar+vender+comprar+devolver+resolver
School,Module Sets,contestar+calcular+continuar+copiar+corregir+dibujar+quebrar+durar+aprender+aprobar+repetir+estudiar+enseñar+aceptar+cancelar+explicar+graduar+interpretar
Future aspirations/ study and work,Module Sets,aplicar+cortar+marcar+participar+borrar+aplicar+ayudar+dar+dudar+aplicar+meter+introducir+enviar+cuidar+construir+entregar+presentar+marcar+aguantar+trabajar+aceptar+acordar+renunciar
International and global dimension,Module Sets,ahorrar+limpiar+tirar+cuidar+encender+emborracharse+proteger+evitar+apagar+ducharse+fumar+luchar+aumentar+cultivar+desaparecer+faltar+gastar+matar+reciclar+robar+salvar+utilizar
Common verbs,Extra Sets,ser+estar+tener+hacer+poder+decir+ir+ver+dar+saber+llegar+pasar+deber+poner+parecer+quedar+creer+hablar+llevar+dejar+seguir+encontrar+llamar
Irregular verbs,Extra Sets,ser+haber+estar+tener+ir+saber+dar+hacer+poder+decir+ir+ver+conocer+poner+salir+traer+venir+oír+caer+caber+jugar+cerrar+empezar+comenzar+entender+mentir
